"lon","lat","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
30.280731,-30.651329,19.7530097961426,8.99214553833008,55.1504669189453,247.495300292969,26.7012500762939,10.3964996337891,16.3047504425049,22.6222076416016,17.1779174804688,22.7914581298828,16.6395835876465,973,127,25,48.9035949707031,365,97,361,102
37.66,-0.38,19.0799369812012,10.9527502059937,77.8364105224609,97.6718292236328,26.77174949646,12.700249671936,14.0714998245239,19.904541015625,17.7222919464111,20.0869579315186,17.7222919464111,1444,331,25,90.3648376464844,647,101,488,101
30.899995,-29.852718,20.4024124145508,9.30166625976562,52.3789100646973,277.865570068359,27.9165782928467,10.1581583023071,17.7584190368652,23.6849555969238,16.8131580352783,23.6849555969238,16.8131580352783,999,131,22,43.8253173828125,375,116,375,116
30.435,0.424,20.86891746521,10.5401248931885,86.515022277832,38.5094871520996,27.2472496032715,15.0642499923706,12.1829996109009,20.6967086791992,21.0530834197998,21.3930416107178,20.5155830383301,1176,167,41,44.0103187561035,456,176,298,197
36.887642,-3.33386,21.6845207214355,11.4785003662109,66.8949279785156,187.938430786133,31.0144996643066,13.8555002212524,17.1590003967285,22.3236255645752,19.5137920379639,23.6537075042725,19.0735416412354,816,240,11,96.3404006958008,478,38,209,49
35.08,-0.57,18.2756881713867,12.2007913589478,79.9095611572266,81.7733306884766,26.4297504425049,11.1614999771118,15.2682504653931,18.7766246795654,19.035249710083,19.3781261444092,17.3193321228027,1562,228,79,30.3110389709473,551,283,330,362
35.08,-0.57,18.2756881713867,12.2007913589478,79.9095611572266,81.7733306884766,26.4297504425049,11.1614999771118,15.2682504653931,18.7766246795654,19.035249710083,19.3781261444092,17.3193321228027,1562,228,79,30.3110389709473,551,283,330,362
35.08,-0.57,18.2756881713867,12.2007913589478,79.9095611572266,81.7733306884766,26.4297504425049,11.1614999771118,15.2682504653931,18.7766246795654,19.035249710083,19.3781261444092,17.3193321228027,1562,228,79,30.3110389709473,551,283,330,362
35.08,-0.57,18.2756881713867,12.2007913589478,79.9095611572266,81.7733306884766,26.4297504425049,11.1614999771118,15.2682504653931,18.7766246795654,19.035249710083,19.3781261444092,17.3193321228027,1562,228,79,30.3110389709473,551,283,330,362
36.712594,-1.352063,19.4104480743408,11.9842710494995,72.642951965332,127.059768676758,28.2779998779297,11.7805004119873,16.4974994659424,20.2825832366943,17.8695411682129,20.8060836791992,17.6163749694824,858,191,18,76.3483963012695,418,58,313,69
