"lon","lat","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
-71.086131,42.454019,10.0437994003296,11.0724363327026,30.1766681671143,926.667907714844,28.7291774749756,-7.96286487579346,36.6920433044434,1.12480103969574,18.885721206665,21.4278526306152,-1.48938989639282,1127,105,83,7.77399730682373,307,257,260,288
-71.093711,42.44553,10.0437994003296,11.0724363327026,30.1766681671143,926.667907714844,28.7291774749756,-7.96286487579346,36.6920433044434,1.12480103969574,18.885721206665,21.4278526306152,-1.48938989639282,1127,105,83,7.77399730682373,307,257,260,288
-71.093003,42.44513,10.0437994003296,11.0724363327026,30.1766681671143,926.667907714844,28.7291774749756,-7.96286487579346,36.6920433044434,1.12480103969574,18.885721206665,21.4278526306152,-1.48938989639282,1127,105,83,7.77399730682373,307,257,260,288
-72.460122,42.230022,8.58956241607666,12.4695835113525,32.1714744567871,954.334655761719,28.1294994354248,-10.6302499771118,38.7597503662109,12.9767084121704,-2.58154153823853,20.1082077026367,-3.46058320999146,1144,104,79,6.7902193069458,300,259,294,264
-78.440062,44.206524,6.18355226516724,10.4417705535889,26.5149116516113,1042.45886230469,25.8349990844727,-13.5457496643066,39.3807487487793,8.09629154205322,-6.14970827102661,18.5468330383301,-7.10533332824707,911,93,57,14.4503917694092,262,185,233,197
-73.86065,42.488103,8.20338535308838,11.660228729248,30.3776397705078,969.700439453125,27.4899997711182,-10.8942499160767,38.3842506408691,17.7908325195312,-4.12554168701172,19.8525829315186,-4.12554168701172,1002,100,61,14.5684967041016,293,203,283,203
-76.253538,42.403512,7.22414588928223,10.3400001525879,28.6369075775146,949.854370117188,25.6702499389648,-10.4370002746582,36.107250213623,16.5260829925537,-3.88162517547607,18.6356258392334,-4.75929164886475,1011,103,62,14.600775718689,286,202,282,207
-75.968414,45.589612,4.65638542175293,10.6236877441406,24.6713943481445,1153.64929199219,25.5445003509521,-17.5162506103516,43.0607528686523,13.3030834197998,-9.2165002822876,18.1367492675781,-10.2289581298828,1012,98,64,14.2155494689941,287,201,281,213
-91.893356,48.013716,2.62943744659424,12.8493337631226,26.7000522613525,1239.94445800781,25.2320003509521,-22.892749786377,48.1247482299805,17.0518341064453,-13.6128330230713,17.0518341064453,-13.6128330230713,728,107,19,53.677806854248,301,71,301,71
-81.072578,46.373212,4.21457290649414,10.8395624160767,24.9375953674316,1167.63330078125,25.4015007019043,-18.0652503967285,43.4667510986328,6.60500001907349,-4.36187505722046,18.0009994506836,-10.7476673126221,889,100,47,19.3376045227051,273,171,225,183
-75.777644,45.425646,5.89680194854736,10.2257709503174,23.9666042327881,1159.33825683594,26.6837501525879,-15.9829998016357,42.666748046875,19.5137920379639,-7.93658304214478,19.5137920379639,-9.08095836639404,922,89,57,14.5856266021729,264,181,264,197
-72.489082,42.365157,7.70430183410645,12.3116874694824,31.7858352661133,957.016052246094,27.2057495117188,-11.5275001525879,38.7332496643066,11.9760417938232,-3.54658341407776,19.2349586486816,-4.35274982452393,1156,105,81,7.10902404785156,304,262,302,267
-79.760439,44.797602,6.00258350372314,9.58937549591064,25.0532321929932,1051.0341796875,25.0625,-13.2135000228882,38.2760009765625,-3.65708327293396,-2.36933350563049,18.3755416870117,-7.22737503051758,1020,105,62,18.1159381866455,310,194,237,273
-76.417944,42.327481,7.65997934341431,10.8635835647583,29.766300201416,941.251037597656,26.2795009613037,-10.2167501449585,36.4962501525879,16.8952503204346,-3.32104182243347,18.9873332977295,-4.2193751335144,967,101,57,16.9477958679199,282,183,279,188
-69.785745,43.874047,7.64313793182373,9.53231525421143,26.8064861297607,918.968139648438,25.3108901977539,-10.2488451004028,35.5597343444824,3.65990090370178,18.2294273376465,18.8210678100586,-3.93305850028992,1146,120,78,13.2523202896118,333,247,251,288
-96.856878,50.029825,2.36072897911072,11.1613330841064,22.7435359954834,1381.03552246094,25.5345001220703,-23.5402507781982,49.0747528076172,18.2652492523193,-15.7790002822876,18.2652492523193,-15.7790002822876,553,98,12,64.3091278076172,268,52,268,52
